,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,is_podium,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
66,Emilia Romagna Grand Prix,mick_schumacher,0.0,19,0,15.0,8,0,haas,10,80.422,80.916,80.916,16.0,4.0,15.95,0,0.0,15.0,20,1,14.125925925925928,0,14.05,9.3,0.1,73.5
67,Emilia Romagna Grand Prix,zhou,1.0,16,0,25.0,5,0,alfa,0,79.73,81.434,81.434,15.0,1.0,10.666666666666666,0,0.0,10.666666666666666,3,0,12.35,0,14.05,9.3,0.1,73.5
68,Miami Grand Prix,hamilton,36.0,6,0,95.0,3,0,mercedes,6,90.388,89.797,89.625,6.0,1.0,3.52,0,0.72,9.0,25,0,3.52,0,27.5,9.8,0.0,62.0
69,Miami Grand Prix,alonso,2.0,16,0,26.0,6,0,alpine,11,90.407,90.16,90.16,9.0,1.0,9.409090909090908,0,0.0454545454545454,12.666666666666666,22,0,9.409090909090908,0,27.5,9.8,0.0,62.0
70,Miami Grand Prix,vettel,4.0,14,0,6.0,9,0,aston_martin,0,90.67699999999999,90.214,90.214,0.0,0.0,10.9,0,0.05,10.0,20,0,8.825396825396826,0,27.5,9.8,0.0,62.0
71,Miami Grand Prix,perez,66.0,3,0,151.0,2,3,red_bull,4,90.055,89.673,89.036,3.5,1.75,6.583333333333333,0,0.2916666666666667,2.6666666666666665,24,0,6.583333333333333,0,27.5,9.8,0.0,62.0
72,Miami Grand Prix,ricciardo,11.0,11,0,46.0,4,0,mclaren,14,90.583,90.31,90.31,13.0,2.0,8.666666666666666,0,0.0416666666666666,12.0,24,0,8.666666666666666,0,27.5,9.8,0.0,62.0
73,Miami Grand Prix,bottas,30.0,8,0,31.0,5,0,alfa,5,90.845,89.751,89.475,8.5,1.0,5.190476190476191,0,0.5238095238095238,6.333333333333333,21,0,11.869565217391305,0,27.5,9.8,0.0,62.0
74,Miami Grand Prix,kevin_magnussen,15.0,10,0,15.0,8,0,haas,16,90.975,90.975,90.975,14.5,1.75,9.25,0,0.0,10.666666666666666,4,0,12.195652173913045,0,27.5,9.8,0.0,62.0
75,Miami Grand Prix,max_verstappen,85.0,2,3,151.0,2,3,red_bull,3,89.836,89.202,88.991,1.0,1.0,2.5454545454545454,1,0.9090909090909092,1.0,22,0,5.049019607843137,0,27.5,9.8,0.0,62.0
76,Miami Grand Prix,sainz,53.0,5,0,157.0,1,2,ferrari,2,90.07900000000001,89.729,88.986,3.5,1.0,6.166666666666667,1,0.25,4.666666666666667,24,0,6.166666666666667,0,27.5,9.8,0.0,62.0
77,Miami Grand Prix,ocon,24.0,9,0,26.0,6,0,alpine,20,,,,8.25,1.0,9.043478260869565,0,0.0434782608695652,9.0,23,0,8.933333333333334,0,27.5,9.8,0.0,62.0
78,Miami Grand Prix,stroll,2.0,17,0,6.0,9,0,aston_martin,0,90.441,89.996,90.676,10.5,1.0,10.956521739130435,0,0.0,11.666666666666666,23,0,9.704761904761904,0,27.5,9.8,0.0,62.0
79,Miami Grand Prix,leclerc,104.0,1,2,157.0,1,2,ferrari,1,89.474,89.13,88.79599999999999,3.25,1.0,5.916666666666667,1,0.1666666666666666,3.0,24,0,5.495145631067961,0,27.5,9.8,0.0,62.0
80,Miami Grand Prix,russell,59.0,4,0,95.0,3,0,mercedes,12,90.49,90.173,90.173,4.75,1.0,10.952380952380953,0,0.0952380952380952,4.0,21,0,4.754716981132075,0,27.5,9.8,0.0,62.0
81,Miami Grand Prix,albon,3.0,15,0,3.0,10,0,williams,18,91.26599999999999,91.26599999999999,91.26599999999999,10.25,1.0,12.0,0,0.0,11.666666666666666,4,0,12.476190476190476,0,27.5,9.8,0.0,62.0
82,Miami Grand Prix,latifi,0.0,21,0,3.0,10,0,williams,19,91.325,91.325,91.325,0.0,0.0,15.227272727272728,0,0.0,14.666666666666666,22,0,12.989010989010987,0,27.5,9.8,0.0,62.0
83,Miami Grand Prix,tsunoda,10.0,12,0,16.0,7,0,alphatauri,9,90.485,90.031,89.932,11.75,1.75,11.476190476190476,0,0.0,8.666666666666666,21,0,10.56060606060606,0,27.5,9.8,0.0,62.0
84,Miami Grand Prix,mick_schumacher,0.0,19,0,15.0,8,0,haas,15,90.645,90.423,90.423,0.0,0.0,16.0,0,0.0,14.666666666666666,21,0,14.147058823529411,0,27.5,9.8,0.0,62.0
85,Spanish Grand Prix,hamilton,46.0,6,0,120.0,3,0,mercedes,6,80.252,79.794,79.512,1.0,2.0,3.615384615384616,0,0.6923076923076923,7.666666666666667,26,1,3.615384615384616,0,34.150000000000006,18.65,0.0,19.0
86,Spanish Grand Prix,alonso,4.0,15,0,34.0,6,0,alpine,20,81.043,81.043,81.043,17.0,2.0,9.478260869565217,0,0.0434782608695652,12.0,23,1,9.478260869565217,1,34.150000000000006,18.65,0.0,19.0
87,Spanish Grand Prix,vettel,4.0,14,0,6.0,9,0,aston_martin,16,80.95400000000001,80.95400000000001,80.95400000000001,13.0,2.0,11.19047619047619,0,0.0476190476190476,12.0,21,1,8.953125,0,34.150000000000006,18.65,0.0,19.0
88,Spanish Grand Prix,perez,85.0,3,0,195.0,1,4,red_bull,5,80.447,79.83,79.42,5.0,2.0,6.48,1,0.28,2.6666666666666665,25,1,6.48,0,34.150000000000006,18.65,0.0,19.0
89,Spanish Grand Prix,ricciardo,11.0,12,0,50.0,4,0,mclaren,9,80.549,80.287,80.297,6.0,2.0,8.84,0,0.04,12.333333333333334,25,1,8.84,0,34.150000000000006,18.65,0.0,19.0
90,Spanish Grand Prix,bottas,38.0,8,0,39.0,5,0,alfa,7,80.355,80.053,79.608,3.0,2.0,5.2727272727272725,0,0.5,6.666666666666667,22,1,11.666666666666666,0,34.150000000000006,18.65,0.0,19.0
91,Spanish Grand Prix,kevin_magnussen,15.0,10,0,15.0,8,0,haas,8,80.227,79.81,79.682,17.25,2.25,10.6,0,0.0,13.0,5,0,12.27659574468085,0,34.150000000000006,18.65,0.0,19.0
92,Spanish Grand Prix,max_verstappen,110.0,1,4,195.0,1,4,red_bull,2,80.09100000000001,79.219,79.07300000000001,2.0,2.0,2.4782608695652173,1,0.9130434782608696,1.0,23,1,5.009708737864078,0,34.150000000000006,18.65,0.0,19.0
93,Spanish Grand Prix,sainz,65.0,5,0,169.0,2,2,ferrari,3,79.892,79.453,79.166,7.0,2.0,6.04,0,0.28,3.0,25,1,6.04,1,34.150000000000006,18.65,0.0,19.0
94,Spanish Grand Prix,ocon,30.0,9,0,34.0,6,0,alpine,12,80.88,80.638,80.638,9.0,1.0,9.0,0,0.0416666666666666,9.666666666666666,24,1,8.918032786885245,0,34.150000000000006,18.65,0.0,19.0
95,Spanish Grand Prix,stroll,2.0,17,0,6.0,9,0,aston_martin,17,81.418,81.418,81.418,11.0,2.0,10.916666666666666,0,0.0,10.666666666666666,24,1,9.70754716981132,0,34.150000000000006,18.65,0.0,19.0
96,Spanish Grand Prix,gasly,6.0,13,0,17.0,7,0,alphatauri,14,80.719,80.861,80.861,10.0,2.0,8.0,0,0.0454545454545454,9.666666666666666,22,1,9.137931034482758,0,34.150000000000006,18.65,0.0,19.0
97,Spanish Grand Prix,norris,39.0,7,0,50.0,4,0,mclaren,11,80.838,80.471,80.471,8.0,2.0,6.76,0,0.2,5.0,25,1,8.615384615384615,0,34.150000000000006,18.65,0.0,19.0
98,Spanish Grand Prix,russell,74.0,4,0,120.0,3,0,mercedes,4,80.218,79.47,79.393,14.0,2.0,10.681818181818182,1,0.0909090909090909,4.0,22,1,4.757009345794392,0,34.150000000000006,18.65,0.0,19.0
99,Spanish Grand Prix,albon,3.0,16,0,3.0,10,0,williams,18,81.645,81.645,81.645,17.5,3.5,11.4,0,0.0,10.0,5,0,12.318181818181818,0,34.150000000000006,18.65,0.0,19.0
100,Spanish Grand Prix,latifi,0.0,21,0,3.0,10,0,williams,19,81.91499999999999,81.91499999999999,81.91499999999999,16.0,3.0,15.173913043478262,0,0.0,15.333333333333334,23,1,13.0,0,34.150000000000006,18.65,0.0,19.0
101,Spanish Grand Prix,tsunoda,11.0,11,0,17.0,7,0,alphatauri,13,80.707,80.639,80.639,10.5,2.75,11.5,0,0.0,11.333333333333334,22,0,10.582089552238806,0,34.150000000000006,18.65,0.0,19.0
102,Spanish Grand Prix,mick_schumacher,0.0,19,0,15.0,8,0,haas,10,80.68299999999999,80.436,80.368,18.0,2.0,15.954545454545457,0,0.0,15.0,22,1,14.153284671532846,0,34.150000000000006,18.65,0.0,19.0
103,Monaco Grand Prix,hamilton,50.0,6,0,134.0,3,0,mercedes,8,73.444,72.595,72.56,7.0,2.0,3.6666666666666665,0,0.6666666666666666,8.0,27,1,3.6666666666666665,0,22.9,14.15,0.35,69.5
