,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
469,Monaco Grand Prix,perez,105.0,2,2,249.0,1,6,red_bull,20,73.85,73.85,73.85,2.5,2.0,4.933333333333334,0.4444444444444444,2.6666666666666665,45,2,4.933333333333334,0,23.2,5.05,0.15,66.5
473,Monaco Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,3,72.967,72.248,71.553,10.5,1.5,8.930232558139535,0.0232558139534883,10.0,43,2,8.9,0,23.2,5.05,0.15,66.5
481,Monaco Grand Prix,de_vries,0.0,19,0,2.0,9,0,alphatauri,12,73.054,72.428,72.428,0.0,0.0,14.0,0.0,15.666666666666666,5,0,11.533980582524272,0,23.2,5.05,0.15,66.5
501,Spanish Grand Prix,de_vries,0.0,19,0,2.0,9,0,alphatauri,14,73.581,74.083,74.083,0.0,0.0,13.666666666666666,0.0,15.0,6,0,11.538461538461538,0,21.75,10.0,0.0,70.5
507,Canadian Grand Prix,perez,126.0,2,2,321.0,1,8,red_bull,12,82.151,80.959,80.959,0.0,0.0,5.148936170212766,0.425531914893617,7.333333333333333,47,0,5.148936170212766,0,19.15,10.6,0.0,62.5
511,Canadian Grand Prix,sainz,13.0,15,0,59.0,5,0,williams,11,82.248,79.856,89.294,2.0,2.0,5.422222222222223,0.2888888888888888,12.0,45,1,5.422222222222223,0,19.15,10.6,0.0,62.5
515,Canadian Grand Prix,leclerc,119.0,5,0,222.0,2,2,ferrari,10,81.843,80.615,80.615,5.0,1.0,5.204545454545454,0.2954545454545454,2.5,44,1,5.308943089430894,0,19.15,10.6,0.0,62.5
517,Canadian Grand Prix,albon,46.0,8,0,59.0,5,0,williams,9,81.938,78.725,78.725,13.0,2.0,12.863636363636363,0.0,8.0,22,1,12.743589743589745,0,19.15,10.6,0.0,62.5
520,Canadian Grand Prix,de_vries,0.0,19,0,2.0,10,0,alphatauri,17,83.137,83.137,83.137,0.0,0.0,13.714285714285714,0.0,14.666666666666666,7,0,11.561904761904762,0,19.15,10.6,0.0,62.5
538,Austrian Grand Prix,de_vries,0.0,20,0,2.0,10,0,alphatauri,0,65.974,65.974,65.974,0.0,0.0,14.25,0.0,14.666666666666666,8,0,11.62264150943396,0,23.5,9.65,0.0,44.5
549,British Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,10,89.533,88.751,87.689,11.0,3.0,9.76595744680851,0.0212765957446808,6.0,47,1,9.71311475409836,0,21.2,19.25,0.1,55.0
552,British Grand Prix,russell,147.0,4,1,210.0,3,2,mercedes,6,89.412,88.782,87.155,12.0,2.0,7.644444444444445,0.2222222222222222,7.5,45,1,4.753846153846154,1,21.2,19.25,0.1,55.0
556,British Grand Prix,de_vries,0.0,20,0,2.0,10,0,alphatauri,18,90.513,90.513,90.513,0.0,0.0,14.555555555555555,0.0,16.333333333333332,9,0,11.67289719626168,0,21.2,19.25,0.1,55.0
589,Belgian Grand Prix,russell,147.0,4,1,210.0,3,2,mercedes,8,119.035,112.605,107.805,3.0,2.0,7.553191489361702,0.2127659574468085,7.5,47,2,4.765151515151516,0,16.5,26.05,0.15,70.0
592,Belgian Grand Prix,zhou,4.0,16,0,9.0,9,0,alfa,17,120.832,120.832,120.832,14.0,2.0,13.11111111111111,0.0,14.333333333333334,27,1,12.596153846153848,0,16.5,26.05,0.15,70.0
610,Dutch Grand Prix,lawson,12.0,16,0,36.0,7,0,racing_bulls,19,83.42,83.42,83.42,0.0,0.0,9.083404998214196,0.1760889227262577,6.0,0,0,11.72222222222222,0,16.35,24.45,0.05,76.0
627,Italian Grand Prix,sargeant,0.0,19,0,21.0,7,0,williams,15,81.93,81.944,81.944,0.0,0.0,15.9,0.0,13.666666666666666,10,0,13.555555555555555,0,27.2,10.6,0.0,56.5
628,Italian Grand Prix,lawson,12.0,16,0,36.0,7,0,racing_bulls,12,82.112,81.758,81.758,0.0,0.0,13.0,0.0,6.0,1,0,11.73394495412844,0,27.2,10.6,0.0,56.5
640,Singapore Grand Prix,albon,46.0,8,0,59.0,5,0,williams,14,92.668,93.719,93.719,0.0,0.0,12.03448275862069,0.0,8.0,29,0,12.23913043478261,0,30.200000000000003,10.25,0.0,68.5
643,Singapore Grand Prix,sargeant,0.0,20,0,21.0,7,0,williams,18,93.252,93.252,93.252,0.0,0.0,15.636363636363637,0.0,13.666666666666666,11,0,13.55084745762712,0,30.200000000000003,10.25,0.0,68.5
644,Singapore Grand Prix,lawson,12.0,16,0,36.0,7,0,racing_bulls,10,92.215,92.166,92.268,0.0,0.0,12.0,0.0,6.0,2,0,11.727272727272728,0,30.200000000000003,10.25,0.0,68.5
657,Japanese Grand Prix,zhou,4.0,16,0,10.0,9,0,alfa,19,91.398,91.398,91.398,16.0,3.0,13.1,0.0,13.0,30,1,12.607476635514018,0,18.85,6.6,0.0,83.0
659,Japanese Grand Prix,lawson,12.0,16,0,36.0,7,0,racing_bulls,11,90.425,90.508,90.508,0.0,0.0,11.0,0.0,6.0,3,0,11.702702702702704,0,18.85,6.6,0.0,83.0
661,Qatar Grand Prix,hulkenberg,37.0,9,0,41.0,6,0,sauber,14,85.904,85.783,85.783,0.0,0.0,14.294117647058824,0.0,6.0,17,0,14.266666666666667,0,34.5,13.15,0.0,57.5
662,Qatar Grand Prix,perez,224.0,2,2,657.0,1,16,red_bull,0,85.991,85.462,85.462,4.0,2.0,5.0181818181818185,0.4363636363636363,4.666666666666667,55,1,5.0181818181818185,0,34.5,13.15,0.0,57.5
666,Qatar Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,8,85.711,84.928,84.763,5.0,1.0,8.88,0.04,10.0,50,1,8.873563218390805,0,34.5,13.15,0.0,57.5
